Query_Str,Post_URL,Author_Name,Author_Web_Page_URL,Author_Handle,Verified_Status,UTC_Time,Ads,Tweet_Content,Post_ID,Tweet_URL,Reply_Count,Repost_Count,Like_Count,View_Count,Bookmark_Count,Tweet_Image_URL,Replying_to,Reply_to_Whom,Reply_to_Whom_URL,Reply_to_Whom_Username,Reply_to_Whom_Handle,Language,Type
XRP min_faves:497,https://x.com/search?q=XRP min_faves:497 until:2023-01-02 since:2023-01-01&src=typed_query,Discover Crypto,https://x.com/DiscoverCrypto_,DiscoverCrypto_,True,2023-01-01 21:08:26+00:00,False,2023: The year the $XRP case ends and the Ripple curse is broken. Also the year @GaryGensler is forced to resign from the @SECGov,1609657827521339392,https://x.com/DiscoverCrypto_/status/1609657827521339392,264,443,3522,303296,4,,False,,,,,en,Top
XRP min_faves:497,https://x.com/search?q=XRP min_faves:497 until:2023-01-02 since:2023-01-01&src=typed_query,K A L E O,https://x.com/CryptoKaleo,CryptoKaleo,True,2023-01-01 16:25:52+00:00,False,"My conservative price targets for 2023: Bitcoin: $420,069 ETH: $69,420 XRP: $589 ZEC: 7 BTC FTT: $1,000 UST: $1.04 USDT: $0.13",1609586716376981511,https://x.com/CryptoKaleo/status/1609586716376981511,1794,452,5669,1648694,120,,False,,,,,en,Top
XRP min_faves:497,https://x.com/search?q=XRP min_faves:497 until:2023-01-03 since:2023-01-02&src=typed_query,The Bearable Bull,https://x.com/thebearablebull,thebearablebull,True,2023-01-02 17:47:10+00:00,False,Who’s Still Holding XRP Through All The Bullshit?? ✋,1609969562891460609,https://x.com/thebearablebull/status/1609969562891460609,444,169,4151,268072,1,,False,,,,,en,Top
XRP min_faves:497,https://x.com/search?q=XRP min_faves:497 until:2023-01-03 since:2023-01-02&src=typed_query,mickle,https://x.com/xrpmickle,xrpmickle,True,2023-01-02 17:44:00+00:00,False,If Ripple was actually committing fraud the SEC probably wouldnt have gone after them. #xrp #ripple,1609968765461995520,https://x.com/xrpmickle/status/1609968765461995520,100,192,1704,147911,3,,False,,,,,en,Top
XRP min_faves:497,https://x.com/search?q=XRP min_faves:497 until:2023-01-03 since:2023-01-02&src=typed_query,Blockchain Backer,https://x.com/BCBacker,BCBacker,True,2023-01-02 14:48:12+00:00,False,I do believe that was the bottom of XRP. I'll discuss it in today's video.,1609924525667323912,https://x.com/BCBacker/status/1609924525667323912,159,240,2038,279767,12,https://pbs.twimg.com/media/FleZt8CWYAUSPVt.png,False,,,,,en,Top
XRP min_faves:497,https://x.com/search?q=XRP min_faves:497 until:2023-01-05 since:2023-01-04&src=typed_query,Novian,https://x.com/NovianXRP,NovianXRP,True,2023-01-04 06:21:51+00:00,False,@RoyIsThaTruth Oh so this ain't rock paper scissors jail?,1610521874324234240,https://x.com/NovianXRP/status/1610521874324234240,42,95,2318,132240,8,https://pbs.twimg.com/tweet_video_thumb/Flm5GxgX0AQ0NAB.jpg,True,RoyIsThaTruth,https://x.com/RoyIsThaTruth,King Roy,RoyIsThaTruth,en,Top
XRP min_faves:497,https://x.com/search?q=XRP min_faves:497 until:2023-01-05 since:2023-01-04&src=typed_query,Linqto,https://x.com/linqtoinc,linqtoinc,True,2023-01-04 10:00:00+00:00,False,"Ripple’s general counsel has confirmed that this is the last filing Ripple will make. Now, things are up to Judge Analisa Torres. Summary judgment for the case, according to former prosecutor James Filan, will take place “on or before March 31, 2023.” https://hubs.li/Q01wYj4d0",1610576772151525377,https://x.com/linqtoinc/status/1610576772151525377,40,454,1444,134722,23,https://pbs.twimg.com/media/FlnrCigWIAAEpH0.jpg,False,,,,,en,Top
XRP min_faves:497,https://x.com/search?q=XRP min_faves:497 until:2023-01-05 since:2023-01-04&src=typed_query,JackTheRippler ©️,https://x.com/RippleXrpie,RippleXrpie,True,2023-01-04 14:52:02+00:00,False,The Wall Street Prediction Is Still In Place! #XRP,1610650266906279937,https://x.com/RippleXrpie/status/1610650266906279937,175,358,1619,153531,37,https://pbs.twimg.com/media/Flot4ZGX0AIZt78.jpg,False,,,,,en,Top
XRP min_faves:497,https://x.com/search?q=XRP min_faves:497 until:2023-01-05 since:2023-01-04&src=typed_query,Documenting Ripple 📚📜,https://x.com/RippleArchive,RippleArchive,True,2023-01-04 21:16:34+00:00,False,XRP WILL BE THE FIRST REGULATED CRYPTOCURRENCY IN THE US. #XRP,1610747036990595072,https://x.com/RippleArchive/status/1610747036990595072,68,231,1639,263566,2,,False,,,,,en,Top
XRP min_faves:497,https://x.com/search?q=XRP min_faves:497 until:2023-01-05 since:2023-01-04&src=typed_query,𝓐𝓶𝓮𝓵𝓲𝓮,https://x.com/_Crypto_Barbie,_Crypto_Barbie,True,2023-01-04 16:21:42+00:00,False,Harvard: Ripple ( #XRP ) and Stellar Lumens ( #XLM ) will be backbone of payment system of the future! https://www.crypto-news-flash.com/harvard-ripple-xrp-and-stellar-lumens-xlm-will-be-backbone-of-payment-system-of-the-future/,1610672833000271872,https://x.com/_Crypto_Barbie/status/1610672833000271872,57,421,1695,157612,41,,False,,,,,en,Top
